Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,129s1.SvImJ_vs_C57BL.6J,A.J_vs_C57BL.6J,C57BL.6J_vs_129s1.SvImJ,C57BL.6J_vs_A.J,C57BL.6J_vs_C57BL.6J,C57BL.6J_vs_mbio_H37Rv,CC001.Unc_vs_C57BL.6J,CC002.Unc_vs_C57BL.6J,CC003.Unc_vs_C57BL.6J,CC004.TauUnc_vs_C57BL.6J,CC005.TauUnc_vs_C57BL.6J,CC006.TauUnc_vs_C57BL.6J,CC007.Unc_vs_C57BL.6J,CC008.GeniUnc_vs_C57BL.6J,CC009.Unc_vs_C57BL.6J,CC010.GeniUnc_vs_C57BL.6J,CC011.Unc_vs_C57BL.6J,CC012.GeniUnc_vs_C57BL.6J,CC013.GeniUnc_vs_C57BL.6J,CC015.Unc_vs_C57BL.6J,CC016.GeniUnc_vs_C57BL.6J,CC017.Unc_vs_C57BL.6J,CC018.Unc_vs_C57BL.6J,CC019.TauUnc_vs_C57BL.6J,CC021.Unc_vs_C57BL.6J,CC022.GeniUnc_vs_C57BL.6J,CC023.GeniUnc_vs_C57BL.6J,CC024.GeniUnc_vs_C57BL.6J,CC025.GeniUnc_vs_C57BL.6J,CC027.GeniUnc_vs_C57BL.6J,CC028.GeniUnc_vs_C57BL.6J,CC030.GeniUnc_vs_C57BL.6J,CC031.GeniUnc_vs_C57BL.6J,CC032.GeniUnc_vs_C57BL.6J,CC033.GeniUnc_vs_C57BL.6J,CC034.Unc_vs_C57BL.6J,CC035.Unc_vs_C57BL.6J,CC037.TauUnc_vs_C57BL.6J,CC038.GeniUnc_vs_C57BL.6J,CC039.Unc_vs_C57BL.6J,CC040.TauUnc_vs_C57BL.6J,CC041.TauUnc_vs_C57BL.6J,CC042.GeniUnc_vs_C57BL.6J,CC043.GeniUnc_vs_C57BL.6J,CC044.Unc_vs_C57BL.6J,CC045.GeniUnc_vs_C57BL.6J,CC046.Unc_vs_C57BL.6J,CC047.Unc_vs_C57BL.6J,CC051.TauUnc_vs_C57BL.6J,CC056.GeniUnc_vs_C57BL.6J,CC057.Unc_vs_C57BL.6J,CC059.TauUnc_vs_C57BL.6J,CC061.GeniUnc_vs_C57BL.6J,CC065.Unc_vs_C57BL.6J,Cast.EiJ_vs_C57BL.6J,IFNG_vs_C57BL.6J,NOD.ShiLtJ_vs_C57BL.6J,NOS_vs_C57BL.6J,NZO.H1LtJ_vs_C57BL.6J,PWK.PhJ_vs_C57BL.6J,Phox_vs_C57BL.6J,Rag_vs_C57BL.6J,Wsb.Eij_vs_C57BL.6J,in_vitro_vs_C57BL.6J,Functional_Category
Rv0514,0.9581,0.651,1.0,0.7134,1.0,0.4714,1.0,0.6625,1.0,1.0,0.7495,0.3513,0.5478,0.2279,0.421,0.7369,0.4693,0.9053,1.0,0.7203,0.2818,0.1295,1.0,0.407,0.1306,0.6253,0.4251,0.4559,1.0,0.4315,0.4518,0.1332,0.8896,0.8145,0.9843,0.608,0.7816,0.5578,1.0,0.4064,0.8248,0.1556,0.2509,0.7104,0.4273,0.8454,0.8466,0.7355,0.8414,0.4672,0.8105,0.6573,0.592,0.9495,1.0,0.9485,0.2744,1.0,0.3901,0.6434,0.6356,0.895,0.6437,0.8213,0.8138,0.9028,0.8169,0.8999,1.0,0.8068,0.8056,0.9727,1.0,0.9539,1.0,0.9194,0.8258,0.6524,0.925,1.0,0.928,0.8854,0.4682,0.9539,0.7443,0.9755,0.9518,0.9745,0.878,0.8998,0.909,0.879,0.8785,0.9525,1.0,0.71,0.8904,0.876,0.8016,0.4639,1.0,0.6018,0.8522,0.8796,0.8792,0.9033,0.9271,0.3997,0.7088,0.7069,0.7627,0.8071,0.9254,0.8775,0.8771,1.0,0.8249,0.9758,0.8837,0.8348,0.7379,0.8763,0.8814,1.0,0.9107,0.8068,0.9531,0.9885,cell wall and cell processes
Rv0515,0.8194,0.7102,0.807,0.3664,0.8814,0.514,0.4695,0.8614,0.5105,0.5474,0.7581,0.7643,0.9761,0.3343,0.619,0.402,0.373,0.6103,0.9912,0.98,0.8856,0.4523,0.9701,0.0392,0.1374,0.6594,0.176,0.8784,0.6635,0.1865,0.7046,0.7833,0.9032,0.8154,0.7804,0.797,0.3364,0.5525,0.5361,0.9362,0.605,0.2457,0.9802,0.3398,0.1504,0.8194,0.6552,0.9045,0.8376,0.5067,0.4533,0.9087,0.6038,0.9995,0.8752,0.8858,0.7026,0.6437,0.7487,0.0474,0.6024,0.3968,0.7194,0.985,0.4511,0.5478,0.4417,0.5443,1.0,0.6171,0.503,0.458,0.4757,0.9338,0.3752,0.9011,0.6719,0.7777,0.8617,0.6355,0.4993,0.5844,0.8699,0.5408,0.6012,0.4011,0.4387,0.3571,0.7668,0.2403,0.4728,0.6958,0.2333,0.6431,0.9826,0.3042,0.8642,0.3806,0.6775,0.4924,0.7677,0.1724,0.2271,0.884,0.9199,0.5332,0.8049,0.4912,0.8787,0.9693,0.8442,0.6627,0.4852,0.4918,0.8581,0.1811,0.4096,0.4112,0.4837,0.2115,0.7312,0.8737,0.6069,0.3906,0.61,0.1612,0.6314,0.8147,insertion seqs and phages
Rv0516c,0.726,0.6377,0.83,0.1814,0.6912,0.0992,0.4111,0.7799,0.4713,0.4449,0.1693,0.0804,0.7975,0.3125,0.3164,0.3295,0.2989,0.233,0.0742,0.097,0.3242,0.7626,0.8766,0.4577,0.6333,0.4038,0.6816,0.0988,0.2174,0.1334,0.7619,0.5674,0.4802,0.835,0.964,0.3416,0.258,0.6655,0.2598,0.0717,0.046,0.9683,0.5277,0.4271,0.8912,0.4668,0.2099,0.0481,0.0179,0.8679,0.9754,0.7977,0.3503,0.1406,0.3545,0.9767,0.4098,0.3603,0.2703,0.6945,0.563,0.5632,0.9158,0.8703,0.8028,0.5685,0.7949,0.568,1.0,0.9068,0.4413,0.7042,0.8791,0.7443,0.9593,0.8922,0.0702,0.6984,0.7259,0.1817,0.915,0.7126,0.9331,0.8759,0.6615,0.2806,0.6327,0.9026,0.4427,0.4223,0.8308,0.564,0.803,0.5559,0.314,0.3331,0.1479,0.6883,0.9908,0.9574,0.994,0.9346,0.8693,0.9081,0.6562,0.9914,0.9671,0.9199,0.7206,0.4006,0.826,0.4411,0.689,0.4595,0.5953,0.7506,0.0519,0.8892,0.4216,0.0714,0.8762,0.9431,0.1414,0.8805,0.5942,0.2909,0.5082,0.7036,information pathways
Rv0517,0.5354,0.4291,0.6727,0.2094,0.5892,0.1088,0.8614,0.9492,0.7669,0.7631,0.2299,0.5995,0.3377,0.0042,0.7064,0.8211,0.6353,0.4948,0.7046,0.1481,0.5059,0.9716,0.567,0.2358,0.1117,0.4677,0.1753,0.418,0.4967,0.2804,0.019,0.3003,0.9319,0.9103,0.5264,0.2044,0.7893,0.983,0.6244,0.312,0.6051,0.2648,0.6794,0.4213,0.2241,0.4147,0.1455,0.031,0.0005,0.0441,0.3998,0.7496,0.7296,0.9344,0.9491,0.734,0.1834,0.8463,0.7492,0.3204,0.2941,0.9517,0.4965,0.4674,0.179,0.9223,0.1818,0.916,1.0,0.3963,0.463,0.9634,0.462,0.7949,0.2887,0.2656,0.3136,0.7061,0.3167,0.7427,0.5527,0.886,0.4524,0.4622,0.9757,0.4198,0.679,0.5315,0.7398,0.5324,0.8082,0.2165,0.9006,0.759,0.822,0.2772,0.4933,0.1978,0.2534,0.6302,0.728,0.1691,0.3171,0.2768,0.4949,0.7808,0.6599,0.5087,0.7304,0.9553,0.1116,0.8592,0.4712,0.4801,0.6165,0.7561,0.3696,0.3932,0.2138,0.3659,0.4736,0.4713,0.8314,0.2322,0.7816,0.8542,0.8333,0.6545,intermediary metabolism and respiration
Rv0518,0.9569,0.916,0.7167,0.7648,0.836,0.012,0.7586,0.9351,0.579,0.5752,0.3757,0.5804,0.6301,0.23,0.6908,0.9621,0.8229,0.6637,0.3906,0.2615,0.6585,0.9647,0.734,0.8765,0.5497,0.4317,0.0085,0.1334,0.7662,0.2643,0.1655,0.9608,0.3439,0.9091,0.8024,0.8322,0.5327,0.5987,0.772,0.86,0.5092,0.8681,0.7184,0.8245,0.5171,0.909,0.263,0.8737,0.5853,0.6229,0.7588,0.9688,0.9158,0.9194,0.3249,0.6555,0.4574,0.8892,0.4786,0.8424,0.6462,0.7006,0.7935,0.8303,0.6778,0.9498,0.6931,0.9468,1.0,0.7632,0.8467,0.7542,0.7508,0.6492,0.6423,0.825,0.9731,0.3497,0.8569,0.7855,0.5287,0.7735,0.9534,0.6828,0.7488,0.9726,0.4592,0.7775,0.9354,0.4854,0.7082,0.5974,0.7688,0.5216,0.7561,0.5587,0.8936,0.8935,0.6958,0.824,0.8875,0.6091,0.7769,0.7241,0.9801,0.7905,0.7797,0.3435,0.6461,0.8917,0.949,0.655,0.8679,0.904,0.8276,0.7407,0.9363,0.6492,0.7765,0.7029,0.8027,0.7859,0.7804,0.6405,0.8085,0.6746,0.6857,0.8589,cell wall and cell processes
Rv0519c,0.6981,0.9321,0.8302,0.1233,0.6561,0.3003,0.4838,0.6461,0.4919,0.4115,0.7645,0.9685,0.7462,0.1026,0.1875,0.5419,0.2261,0.2064,0.6645,0.0906,0.2143,0.2082,0.5063,0.2757,0.9637,0.8159,0.9767,0.6939,0.6434,0.2459,0.1429,0.1401,0.6933,0.7725,0.8522,0.8447,0.9212,0.6059,0.6769,0.3424,0.9629,0.2035,0.3614,0.6046,0.9682,0.8437,0.9589,0.7852,0.5558,0.523,0.8302,0.9056,0.1529,0.4816,0.3831,0.9849,0.0936,0.0981,0.7238,0.1871,0.0315,0.2782,0.0006,0.1402,0.663,0.6525,0.6583,0.6435,1.0,0.4127,0.5613,0.7133,0.7009,0.4904,0.7045,0.4923,0.7741,0.2764,0.6381,0.9525,0.4223,0.544,0.3155,0.8843,0.3589,0.6375,0.8532,0.3022,0.834,0.2857,0.6833,0.7335,0.5328,0.8768,0.9194,0.6746,0.5513,0.6313,0.523,0.5328,0.7521,0.9784,0.1082,0.848,0.528,0.8025,0.649,0.8271,0.2075,0.539,0.544,0.7535,0.6302,0.4929,0.7005,0.541,0.8214,0.5292,0.7505,0.5355,0.7208,0.8759,0.718,0.4587,0.975,0.7165,0.5339,0.4932,cell wall and cell processes
Rv0520,0.5559,0.6402,0.5832,0.6156,0.3966,0.5167,0.6444,0.5962,0.7989,0.9902,0.6227,0.9466,0.5568,0.2586,0.4453,0.3078,0.2127,0.5407,0.2527,0.9797,0.8294,0.522,0.2774,0.2685,0.2469,0.7359,0.2735,0.9141,0.6466,0.4701,0.9016,0.6707,0.9845,0.7171,0.7794,0.8688,0.824,0.6445,0.8446,0.5552,0.3875,0.2446,0.4763,0.6055,0.11,0.9574,0.5864,0.6599,0.3379,0.7093,0.9877,0.4945,0.34,0.7624,0.098,0.5746,0.1462,0.015,0.987,0.4998,0.1619,0.3094,0.7919,0.8473,0.8269,0.5158,0.8229,0.5125,1.0,0.7032,0.9153,0.6413,0.4861,0.5579,0.8374,0.2892,0.3407,0.247,0.7176,0.6599,0.4203,0.7363,0.3327,0.5402,0.498,0.5958,0.29,0.728,0.0693,0.5369,0.5868,0.6738,0.3511,0.8012,0.3996,0.686,0.9952,0.5292,0.9228,0.9154,0.0517,0.3819,0.8051,0.4191,0.3784,0.6461,0.7481,0.7385,0.6279,0.4308,0.609,0.7063,0.3837,0.4327,0.6798,0.7667,0.1076,0.4749,0.809,0.9396,0.3694,0.3777,0.8966,0.6434,0.447,0.1837,0.9263,0.6454,intermediary metabolism and respiration
Rv0521,0.5792,0.765,0.924,0.7371,0.7199,0.0283,0.6226,0.8002,0.2071,0.2144,0.4084,0.6121,0.5623,0.6063,0.239,0.6148,0.0876,0.34,0.8698,0.3204,0.7041,0.4931,0.9594,0.0008,0.2082,0.4953,0.0004,0.1588,0.0969,0.0041,0.9732,0.8598,0.3951,0.7264,0.5698,0.715,0.3358,0.9287,0.7659,0.0125,0.7647,0.4657,0.6495,0.7642,0.2005,0.9486,0.0425,0.9631,0.9346,0.4119,0.5982,0.9633,0.669,0.5216,0.8403,0.7283,0.284,0.8176,0.7941,0.2793,0.5322,0.0321,0.9471,0.1034,0.7854,0.8299,0.7783,0.8279,1.0,0.4766,0.2876,0.5856,0.9159,0.6259,0.9205,0.4652,0.4979,0.2907,0.4739,0.6535,0.5439,0.63,0.5264,0.7998,0.9739,0.9083,0.9047,0.948,0.794,0.7517,0.6912,0.5297,0.6858,0.6646,0.8103,0.6452,0.8826,0.9477,0.9601,0.3669,0.1463,0.2362,0.8458,0.9315,0.2689,0.9359,0.3428,0.6934,0.3238,0.2138,0.5445,0.5634,0.8707,0.8455,0.9179,0.4191,0.2592,0.9966,0.6166,0.8308,0.1776,0.8105,0.8104,0.5578,0.611,0.4394,0.9414,0.5109,intermediary metabolism and respiration
Rv0522,0.7043,0.5235,0.7705,0.8063,0.99,0.6381,0.6805,0.6143,0.9957,0.56,0.4648,0.0654,0.3848,0.0396,0.2137,0.7427,0.1039,0.1628,0.0434,0.7516,0.3549,0.0076,0.8638,0.4434,0.0182,0.6982,0.0295,0.9052,0.9416,0.6913,0.0439,0.8765,0.3393,0.9224,0.5784,0.8166,0.1838,0.8209,0.4648,0.8153,0.3163,0.9326,0.953,0.9726,0.2789,0.8252,0.9726,0.4044,0.3017,0.6575,0.5392,0.4185,0.8681,0.9448,0.2106,0.6332,0.888,0.4165,0.5999,0.1651,0.7575,0.2591,0.9458,0.7156,0.8462,0.2597,0.8432,0.2597,1.0,0.9715,0.9676,0.9972,0.2228,0.1276,0.4396,0.3495,0.1274,0.1105,0.6323,0.9571,0.8892,0.7763,0.4791,0.8148,0.8572,0.104,0.4778,0.5781,0.2188,0.6205,0.5402,0.8974,0.8345,0.2596,0.5863,0.4129,0.8222,0.5255,0.9852,0.5321,0.6498,0.3075,0.6723,0.2698,0.3129,0.6842,0.7544,0.6644,0.4249,0.3641,0.9453,0.8823,0.3733,0.4597,0.8556,0.5832,0.2159,0.657,0.4775,0.8961,0.5602,0.7085,0.2136,0.9737,0.7428,0.1577,0.9685,0.9346,cell wall and cell processes
Rv0524,0.0644,1.0,1.0,0.495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5141,0.5013,1.0,1.0,1.0,1.0,1.0,1.0,0.0594,1.0,1.0,1.0,1.0,0.5012,0.4916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4044,0.3998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0526,0.0107,0.1505,1.0,1.0,0.4594,1.0,1.0,0.4739,0.4674,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8166,0.909,1.0,0.6436,0.9128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0527,0.1938,0.8609,0.5212,0.4766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7997,0.8082,1.0,0.6205,0.8001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0528,0.8368,0.1947,1.0,0.4996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4023,1.0,1.0,0.0601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8359,0.1503,1.0,0.7648,0.908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7533,1.0,1.0,0.4331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv0529,0.7279,0.991,0.4887,1.0,0.4877,1.0,0.2282,0.4907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4039,1.0,1.0,0.5156,1.0,0.5021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1475,0.9045,1.0,0.5466,0.7306,1.0,0.4986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2506,0.25,1.0,1.0,1.0,1.0,1.0,0.4305,1.0,1.0,1.0,1.0,1.0,0.4062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3942,1.0,1.0,1.0,0.3976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3947,1.0,intermediary metabolism and respiration
Rv0531,0.0732,0.8073,0.4991,0.7376,0.6908,1.0,0.429,0.4587,1.0,1.0,1.0,0.4982,0.4929,0.4132,0.6222,0.7946,0.3768,1.0,0.9582,0.7353,0.9698,0.7505,1.0,0.4044,1.0,1.0,1.0,1.0,1.0,0.4697,0.1763,0.2945,1.0,0.0647,0.9638,1.0,0.4022,0.4917,1.0,0.472,1.0,1.0,0.1506,0.4738,1.0,0.8734,0.5004,1.0,0.4801,1.0,1.0,1.0,1.0,0.478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2467,0.244,1.0,1.0,1.0,1.0,1.0,0.2015,1.0,0.1435,0.3976,0.3986,1.0,0.4064,1.0,0.3957,0.1508,0.2513,1.0,0.1502,0.3973,0.151,0.2537,0.1477,0.1481,0.395,0.3977,1.0,1.0,0.1439,0.147,1.0,1.0,1.0,1.0,0.3968,0.4033,1.0,0.3944,1.0,1.0,0.3978,0.3981,0.1456,0.1469,1.0,1.0,0.3957,0.4037,0.4054,0.1479,1.0,0.3976,1.0,0.3999,0.1458,1.0,0.3971,1.0,0.1416,1.0,1.0,0.4027,1.0,1.0,0.4627,cell wall and cell processes
Rv0532,0.2515,0.2414,0.8921,0.5445,0.8591,0.0181,0.6551,0.8286,0.7484,0.9295,0.4828,0.3514,0.962,0.1513,0.072,0.2119,0.4866,0.3301,0.6659,0.7451,0.7597,0.3107,0.1095,0.0018,0.4063,0.9588,0.3057,0.1094,0.6215,0.1111,0.0332,0.6897,0.4964,0.2664,0.4332,0.9492,0.8147,0.2631,0.2454,0.8672,0.1976,0.2008,0.5544,0.479,0.5164,0.8159,0.4388,0.8091,0.9211,0.2849,0.4476,0.5371,0.5486,0.8756,0.1055,0.2817,0.81,0.1296,0.8402,0.3841,0.2263,0.0208,0.6463,0.9552,0.473,0.1348,0.4761,0.1338,1.0,0.1267,0.0211,0.0565,0.3645,0.6171,0.1906,0.0863,0.4722,0.1062,0.3141,0.7686,0.0916,0.0262,0.4112,0.1326,0.5869,0.034,0.2997,0.0173,0.6394,0.4524,0.0217,0.2209,0.0588,0.5342,0.2773,0.4938,0.6222,0.1326,0.2501,0.3895,0.0464,0.0215,0.0799,0.2745,0.0638,0.1635,0.0516,0.9542,0.1578,0.056,0.1523,0.0981,0.0956,0.1845,0.0542,0.6674,0.1811,0.057,0.1516,0.0571,0.6637,0.4776,0.0135,0.7711,0.0196,0.0547,0.1135,0.5345,PE/PPE
Rv0533c,0.8579,0.8648,0.6579,0.8941,0.7521,0.0278,0.803,0.8735,0.9159,0.7973,0.9102,0.333,0.2327,0.1217,0.1195,0.1255,0.9059,0.2818,0.7035,0.1794,0.3972,0.3895,0.1233,0.6517,0.1948,0.239,0.4211,0.178,0.8735,0.2151,0.1195,0.8928,0.0401,0.6534,0.618,0.7016,0.734,0.5943,0.8441,0.8383,0.2567,0.4888,0.8849,0.6122,0.6909,0.9718,0.9496,0.5958,0.5526,0.3381,0.6927,0.8591,0.3555,0.964,0.9191,0.6327,0.2847,0.9358,0.6099,0.7133,0.8524,0.7419,0.4956,0.6923,0.8628,0.6848,0.8649,0.678,1.0,0.2177,0.8008,0.2649,0.5042,0.8672,0.1539,0.5733,0.4508,0.5261,0.8889,0.9035,0.7834,0.7358,0.4014,0.3891,0.8211,0.6799,0.1791,0.0115,0.929,0.8443,0.9143,0.1434,0.8118,0.2483,0.961,0.9892,0.9822,0.4064,0.8612,0.5235,0.5435,0.4306,0.552,0.7038,0.473,0.6823,0.9907,0.5687,0.6842,0.8391,0.4364,0.9219,0.6665,0.6548,0.7982,0.7489,0.7377,0.2382,0.7698,0.3671,0.9604,0.3644,0.6607,0.1686,0.8898,0.1053,0.8382,0.7598,lipid metabolism
Rv0534c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1576,0.1532,1.0,1.0,0.4039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
