ORF,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_mbio_H37Rv,carey_630_vs_mbio_H37Rv,carey_631_vs_mbio_H37Rv,carey_632_vs_mbio_H37Rv,carey_641_vs_mbio_H37Rv,carey_662_vs_mbio_H37Rv,carey_663_vs_mbio_H37Rv,carey_667_vs_mbio_H37Rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,Functional_Category
Rv0012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8496799999999999,1.0,1.0,1.0,1.0,0.1362,1.0,0.7008800000000001,0.81319,0.08918999999999999,0.8292700000000001,0.09314,1.0,0.08255,1.0,0.0,0.33762,1.0,1.0,0.62359,1.0,1.0,1.0,0.0,1.0,1.0,0.13574,1.0,0.62862,1.0,0.12637,0.10415,0.01331,0.11039000000000003,0.06616,1.0,1.0,0.30553,1.0,1.0,1.0,1.0,1.0,0.97711,1.0,1.0,1.0,0.08855,cell wall and cell processes
Rv0013,1.0,1.0,1.0,1.0,1.0,0.77751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7812899999999999,1.0,0.8988,0.7472,1.0,0.99214,1.0,1.0,0.99003,1.0,0.4577100000000001,0.64554,1.0,1.0,0.81739,1.0,0.84403,0.8728100000000001,1.0,1.0,1.0,1.0,1.0,0.65566,1.0,1.0,0.68025,0.0,1.0,1.0,1.0,1.0,1.0,0.58444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70407,1.0,1.0,0.2267,0.20838,intermediary metabolism and respiration
Rv0014c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62513,1.0,0.99445,0.98192,1.0,1.0,0.32671999999999995,1.0,1.0,1.0,0.8195399999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96104,0.97403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,regulatory proteins
Rv0015c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36714,0.97107,0.61568,1.0,0.85931,1.0,1.0,1.0,1.0,1.0,0.59515,0.86179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37727,1.0,1.0,0.96046,1.0,1.0,1.0,1.0,0.97527,1.0,0.8260200000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91685,1.0,1.0,1.0,1.0,regulatory proteins
Rv0016c,1.0,1.0,1.0,0.0,1.0,0.61537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00322,0.37873,0.41588,0.0038,1.0,0.00363,0.92953,1.0,1.0,1.0,0.46396,0.86179,1.0,0.0,0.57067,1.0,0.25589,0.72636,0.8889100000000001,1.0,1.0,1.0,1.0,0.14154,0.76088,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.30705,0.0,0.0,0.01625,1.0,0.0,1.0,0.12151,0.0,1.0,1.0,0.20594,1.0,0.8275,1.0,1.0,0.04359,0.0,cell wall and cell processes
Rv0017c,1.0,1.0,1.0,0.0,1.0,0.35598,1.0,1.0,1.0,1.0,1.0,0.93931,1.0,0.72524,0.21507,0.88071,0.15484,1.0,0.64269,0.58607,0.45174,0.25208,1.0,0.43222,0.19835,0.66975,0.0,0.11607,1.0,0.94792,0.06577000000000001,0.60724,1.0,1.0,1.0,1.0,0.07277,0.528,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.72025,0.0,0.0,0.29179,1.0,0.16144,1.0,0.00621,0.0,1.0,1.0,0.0,1.0,0.67784,1.0,1.0,0.0,0.0,cell wall and cell processes
Rv0018c,1.0,1.0,1.0,0.05852,1.0,1.0,1.0,1.0,0.32786,1.0,1.0,1.0,1.0,0.8842200000000001,0.50221,0.99137,0.85311,1.0,1.0,1.0,0.77383,0.55569,0.92971,0.10464,0.27726,1.0,0.93451,0.71725,1.0,0.99948,0.79609,1.0,0.05792000000000001,1.0,1.0,1.0,0.28189000000000003,0.90535,1.0,0.0399,0.81585,1.0,1.0,1.0,0.6975100000000001,0.8482200000000001,0.0,1.0,0.04372,0.22981,0.90077,1.0,1.0,1.0,1.0,0.09811,1.0,1.0,1.0,0.01425,1.0,1.0,1.0,0.0,regulatory proteins
Rv0019c,1.0,1.0,1.0,0.02064,1.0,1.0,1.0,1.0,0.05542,0.64125,1.0,1.0,1.0,0.36701,0.0095,1.0,1.0,1.0,0.29198,1.0,1.0,1.0,1.0,0.65722,0.64286,1.0,0.0,1.0,1.0,0.16412000000000002,1.0,1.0,1.0,1.0,1.0,0.14397,0.39188,0.7805300000000001,1.0,0.0,0.08326,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.88408,0.08447,1.0,1.0,1.0,1.0,1.0,0.70506,0.84305,1.0,0.035,0.00387,regulatory proteins
Rv0020c,1.0,1.0,1.0,0.50673,1.0,0.56108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41988,1.0,0.95466,0.96316,1.0,1.0,0.94227,0.99888,0.98209,1.0,0.60931,1.0,1.0,0.22355,0.25607,1.0,0.3415,1.0,1.0,1.0,1.0,1.0,1.0,0.48814,0.98303,1.0,0.0,0.90713,1.0,1.0,1.0,1.0,1.0,0.03442,0.41752,0.016309999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5718,0.73845,1.0,0.5521,1.0,1.0,1.0,1.0,regulatory proteins
Rv0022c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8127300000000001,1.0,0.99386,0.9604,1.0,1.0,0.8478100000000001,0.9293,1.0,1.0,0.31953000000000004,0.22623,1.0,0.33383,0.57309,1.0,0.21826,0.57122,0.8002,1.0,1.0,1.0,1.0,0.48814,0.94597,1.0,1.0,1.0,1.0,1.0,1.0,0.97527,1.0,0.61943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65161,1.0,1.0,1.0,1.0,regulatory proteins
Rv0023,1.0,1.0,1.0,0.5242899999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98782,0.85964,0.6261800000000001,0.59993,1.0,1.0,1.0,0.23215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.50162,1.0,1.0,0.84634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8174899999999999,regulatory proteins
Rv0024,1.0,1.0,1.0,1.0,1.0,0.57819,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33975,0.04161,0.91666,0.93212,1.0,0.86315,0.55273,1.0,1.0,0.21496,0.32042,1.0,0.85557,0.81866,1.0,0.98334,0.56263,0.59772,1.0,1.0,1.0,1.0,0.50162,0.90535,1.0,0.81021,0.99829,1.0,1.0,1.0,0.81255,1.0,0.99235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6594399999999999,1.0,1.0,1.0,1.0,"virulence, detoxification, adaptation"
Rv0031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7604,1.0,0.51805,1.0,0.3849,1.0,1.0,0.8279700000000001,1.0,1.0,0.79443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,insertion seqs and phages
Rv0032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99343,0.59365,0.92526,1.0,1.0,0.76186,1.0,1.0,0.95292,1.0,0.81789,0.40161,1.0,0.85557,0.5855,1.0,0.85182,0.31477,1.0,1.0,1.0,1.0,1.0,0.7109,1.0,1.0,0.91599,0.67077,1.0,1.0,1.0,1.0,1.0,0.74364,1.0,1.0,0.69928,1.0,1.0,1.0,1.0,1.0,1.0,0.8776799999999999,1.0,1.0,0.45689,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0033,1.0,1.0,1.0,1.0,1.0,0.6964199999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92252,0.58226,0.78184,1.0,1.0,0.84111,0.88059,1.0,0.60511,1.0,0.98114,0.73418,1.0,0.7571399999999999,1.0,1.0,1.0,0.8877,0.91766,1.0,1.0,1.0,1.0,0.5301100000000001,1.0,1.0,0.98156,0.97625,1.0,0.68772,1.0,1.0,1.0,0.92105,1.0,1.0,0.80345,1.0,1.0,1.0,1.0,1.0,1.0,0.95558,1.0,1.0,1.0,1.0,1.0,1.0,1.0,lipid metabolism
Rv0035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85319,0.99266,0.84444,0.93571,1.0,1.0,0.44977,0.18655,0.9205,1.0,0.8672799999999999,1.0,1.0,0.37773,0.80093,1.0,0.99219,0.7199300000000001,1.0,1.0,1.0,1.0,1.0,0.93145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.80087,1.0,1.0,1.0,1.0,lipid metabolism
Rv0037c,1.0,1.0,1.0,0.72734,1.0,0.70519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94774,0.79706,0.83316,0.8376399999999999,1.0,0.99391,0.52804,1.0,0.52556,1.0,0.8500200000000001,1.0,1.0,0.70873,0.40815,1.0,0.84403,1.0,1.0,1.0,1.0,1.0,1.0,0.61819,1.0,1.0,1.0,0.84572,1.0,1.0,1.0,0.7711600000000001,1.0,0.72436,1.0,0.49514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv0039c,1.0,1.0,1.0,1.0,1.0,0.47324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6027399999999999,0.2442,1.0,0.20869,1.0,0.68107,0.95507,1.0,0.95292,1.0,0.04106,0.5187,1.0,0.23365,0.16909000000000002,1.0,0.84403,0.74953,1.0,1.0,1.0,1.0,1.0,0.70052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3295,1.0,1.0,1.0,1.0,1.0,1.0,0.82896,1.0,1.0,0.69704,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv0040c,1.0,1.0,1.0,1.0,1.0,0.5787899999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5233800000000001,0.71611,1.0,1.0,1.0,0.99214,0.84524,1.0,1.0,1.0,0.30813,0.5187,0.59097,0.70419,0.95519,1.0,0.84403,0.9791,1.0,0.66125,1.0,1.0,1.0,0.48407,1.0,1.0,0.29018,0.26106,1.0,1.0,1.0,0.28605,1.0,0.39262,1.0,1.0,0.06959,1.0,1.0,1.0,1.0,1.0,1.0,0.5718,1.0,1.0,0.44354,1.0,1.0,1.0,0.00549,cell wall and cell processes
Rv0041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38294,1.0,0.5414100000000001,0.45755,0.24452,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6188100000000001,1.0,0.85088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21301,0.12580999999999998,information pathways
Rv0042c,1.0,1.0,1.0,1.0,1.0,0.66038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.61562,0.17388,1.0,0.93154,1.0,1.0,1.0,1.0,0.78657,1.0,0.20186,1.0,1.0,0.6089600000000001,0.40323,1.0,0.2678,0.68952,1.0,1.0,1.0,1.0,1.0,0.86677,1.0,1.0,0.285,0.84,1.0,1.0,1.0,0.87129,1.0,0.13838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70398,1.0,1.0,1.0,1.0,regulatory proteins
Rv0043c,1.0,1.0,1.0,1.0,1.0,0.35612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98209,0.96316,1.0,1.0,0.92659,1.0,1.0,1.0,0.74221,0.23041,0.07773,0.41248,0.49715,1.0,0.84404,0.95171,1.0,1.0,1.0,1.0,1.0,0.8467399999999999,0.76088,1.0,0.04777,0.11017,0.96051,1.0,1.0,1.0,0.8917200000000001,0.25234,1.0,1.0,0.34892,0.55718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82578,1.0,1.0,0.44537,0.23436,regulatory proteins
Rv0044c,1.0,1.0,1.0,1.0,1.0,0.37518,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.80989,0.93715,0.90929,0.93249,1.0,1.0,0.81939,1.0,1.0,1.0,0.12847999999999998,0.74047,1.0,0.07515,0.56812,1.0,0.84403,0.8743700000000001,0.6529699999999999,1.0,1.0,1.0,1.0,0.6109899999999999,1.0,1.0,0.92128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99697,1.0,1.0,0.77408,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0045c,1.0,1.0,1.0,1.0,1.0,0.36575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79184,0.96848,1.0,1.0,1.0,1.0,0.82121,1.0,0.91724,0.42422,1.0,1.0,0.50573,1.0,0.8330799999999999,0.31934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30199000000000004,1.0,1.0,1.0,1.0,lipid metabolism
Rv0046c,1.0,1.0,1.0,1.0,1.0,0.73055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0048c,1.0,1.0,1.0,1.0,1.0,0.39491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8403700000000001,0.8614299999999999,1.0,0.74964,1.0,1.0,0.89407,1.0,0.9738,1.0,0.96503,0.86179,1.0,1.0,0.62947,1.0,0.85006,1.0,1.0,1.0,1.0,1.0,1.0,0.99179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86321,1.0,0.24106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39086,1.0,1.0,1.0,1.0,cell wall and cell processes
