"","ORF","Name","Description","Final.Call","tuberculist","tbdb","kegg","pubmed","google","pubmed_name","google_name","essentiality","geneName"
"11","Rv0011c","Rv0011c","Probable conserved transmembrane protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0011c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0011c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0011c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0011c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0011c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0011c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0011c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0011c"
"12","Rv0012","Rv0012","Probable conserved membrane protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0012' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0012' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0012' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0012' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0012' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0012' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0012' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0012"
"13","Rv0013","trpG","Possible anthranilate synthase component II TrpG (glutamine amidotransferase)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0013' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0013' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0013' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0013' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0013' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=trpG' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=trpG' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv0013"
"14","Rv0014c","pknB","Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0014c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0014c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0014c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0014c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0014c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=pknB' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=pknB' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv0014c"
"15","Rv0015c","pknA","Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0015c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0015c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0015c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0015c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0015c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=pknA' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=pknA' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv0015c"
"16","Rv0016c","pbpA","Probable penicillin-binding protein PbpA","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0016c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0016c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0016c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0016c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0016c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=pbpA' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=pbpA' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0016c"
"17","Rv0017c","rodA","Probable cell division protein RodA","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0017c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0017c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0017c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0017c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0017c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=rodA' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=rodA' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0017c"
"18","Rv0018c","pstP","Phosphoserine/threonine phosphatase PstP","Essential domain","<a href='https://mycobrowser.epfl.ch/genes/Rv0018c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0018c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0018c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0018c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0018c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=pstP' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=pstP' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential domain","<span style=""font-weight:bold"">ORF: </span>Rv0018c"
"19","Rv0019c","fhaB","Conserved protein with FHA domain, FhaB","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0019c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0019c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0019c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0019c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0019c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=fhaB' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=fhaB' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0019c"
"20","Rv0020c","fhaA","Conserved protein with FHA domain, FhaA","Essential domain","<a href='https://mycobrowser.epfl.ch/genes/Rv0020c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0020c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0020c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0020c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0020c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=fhaA' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=fhaA' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential domain","<span style=""font-weight:bold"">ORF: </span>Rv0020c"
"21","Rv0021c","Rv0021c","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0021c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0021c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0021c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0021c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0021c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0021c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0021c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0021c"
"22","Rv0022c","whiB5","Probable transcriptional regulatory protein WhiB-like WhiB5","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0022c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0022c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0022c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0022c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0022c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=whiB5' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=whiB5' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0022c"
"23","Rv0023","Rv0023","Possible transcriptional regulatory protein","Growth-defect","<a href='https://mycobrowser.epfl.ch/genes/Rv0023' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0023' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0023' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0023' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0023' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0023' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0023' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Growth-defect","<span style=""font-weight:bold"">ORF: </span>Rv0023"
"24","Rv0024","Rv0024","Putative secreted protein P60-related protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0024' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0024' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0024' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0024' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0024' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0024' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0024' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0024"
"25","Rv0025","Rv0025","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0025' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0025' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0025' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0025' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0025' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0025' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0025' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0025"
"26","Rv0026","Rv0026","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0026' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0026' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0026' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0026' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0026' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0026' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0026' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0026"
"27","Rv0027","Rv0027","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0027' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0027' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0027' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0027' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0027' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0027' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0027' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0027"
"28","Rv0028","Rv0028","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0028' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0028' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0028' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0028' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0028' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0028' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0028' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0028"
"29","Rv0029","Rv0029","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0029' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0029' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0029' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0029' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0029' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0029' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0029' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0029"
"30","Rv0030","Rv0030","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0030' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0030' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0030' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0030' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0030' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0030' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0030' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0030"
"31","Rv0031","Rv0031","Possible remnant of a transposase","Uncertain","<a href='https://mycobrowser.epfl.ch/genes/Rv0031' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0031' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0031' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0031' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0031' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0031' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0031' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Uncertain","<span style=""font-weight:bold"">ORF: </span>Rv0031"
