Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P9WHT3	AMPA_MYCTU	reviewed	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA pepB Rv2213 MTCY190.24	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	515
P9WPZ3	ARGJ_MYCTU	reviewed	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	argJ Rv1653 MTCY06H11.18	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	404
P9WPY1	AROC_MYCTU	reviewed	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC aroF Rv2540c MTCY159.16	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	401
P9WPU9	ATPG_MYCTU	reviewed	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG Rv1309 MTCY373.29	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	305
P9WMJ5	BLAI_MYCTU	reviewed	Transcriptional regulator BlaI	blaI Rv1846c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	138
P9WJG3	CARD_MYCTU	reviewed	RNA polymerase-binding transcription factor CarD	carD Rv3583c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	162
P9WN03	AFTA_MYCTU	reviewed	Galactan 5-O-arabinofuranosyltransferase (EC 2.4.2.46) (Arabinofuranosyltransferase AftA)	aftA Rv3792	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	643
P9WMK9	AP4A_MYCTU	reviewed	AP-4-A phosphorylase (EC 2.7.7.53) (ATP adenylyltransferase) (Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase) (AP,A phosphorylase)	Rv2613c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	195
P9WKD3	BLAC_MYCTU	reviewed	Beta-lactamase (EC 3.5.2.6) (Ambler class A beta-lactamase)	blaC blaA Rv2068c MTCY49.07c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	307
P9WQ95	AMI3_MYCTU	reviewed	Putative amidase AmiC (EC 3.5.1.4)	amiC Rv2888c MTCY274.19c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	473
P9WPQ9	BFR_MYCTU	reviewed	Bacterioferritin (BFR) (EC 1.16.3.1)	bfr bfrA Rv1876 MTCY180.42c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	159
P9WPN1	C135A_MYCTU	reviewed	Putative cytochrome P450 135A1 (EC 1.14.-.-)	cyp135A1 Rv0327c MTCY63.32c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	449
P9WHR5	CAEB_MYCTU	reviewed	Carboxylesterase B (EC 3.1.1.-)	caeB Rv2223c MTCY427.04c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	520
P9WQC9	ACYP_MYCTU	reviewed	Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)	acyP Rv2922.1c MTCY338.11Bc Rv2922A	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	93
P9WFU5	SYM_MYCTU	reviewed	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG metS Rv1007c MTCI237.24	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	519
P9WQ23	TREZ_MYCTU	reviewed	Malto-oligosyltrehalose trehalohydrolase (MTHase) (EC 3.2.1.141) (4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase) (Maltooligosyl trehalose trehalohydrolase)	treZ Rv1562c MTCY48.03	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	580
P9WJ25	VPB38_MYCTU	reviewed	Putative antitoxin VapB38	vapB38 Rv2493	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	73
O53811	VPB31_MYCTU	reviewed	Antitoxin VapB31	vapB31 Rv0748	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	85
P95006	VPB19_MYCTU	reviewed	Putative antitoxin VapB19	vapB19 Rv2547	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	85
P0CW29	VAPB1_MYCTU	reviewed	Putative antitoxin VapB1	vapB1 Rv0064A	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	79
P9WMB1	Y0026_MYCTU	reviewed	Uncharacterized protein Rv0026	Rv0026 MTCY10H4.26	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	448
P9WM61	Y104_MYCTU	reviewed	Uncharacterized protein Rv0104	Rv0104 MTCY251.23	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	504
P9WM03	Y1360_MYCTU	reviewed	Uncharacterized protein Rv1360	Rv1360 MTCY02B10.24	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	340
O53500	Y2102_MYCTU	reviewed	Uncharacterized protein Rv2102	Rv2102 RVBD_2102 P425_02177	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	277
P9WMN5	Y2204_MYCTU	reviewed	Protein Rv2204c	Rv2204c MTCY190.15c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	118
P9WM41	Y1278_MYCTU	reviewed	Uncharacterized protein Rv1278	Rv1278 MTCY50.04c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	875
P9WM13	Y1354_MYCTU	reviewed	Uncharacterized protein Rv1354c	Rv1354c MTCY02B10.18c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	623
P9WME1	Y196_MYCTU	reviewed	Uncharacterized HTH-type transcriptional regulator Rv0196	Rv0196	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	194
P9WLF3	Y2273_MYCTU	reviewed	Uncharacterized protein Rv2273	Rv2273 MTCY339.37c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	109
P9WPR9	Y1488_MYCTU	reviewed	Uncharacterized protein Rv1488	Rv1488 MTCY277.09	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	381
P9WM35	Y1290_MYCTU	reviewed	Uncharacterized protein Rv1290c	Rv1290c MTCY373.09c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	521
P9WLF7	Y2271_MYCTU	reviewed	Uncharacterized protein Rv2271	Rv2271 MTCY339.39c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	99
P9WFQ3	Y1421_MYCTU	reviewed	Nucleotide-binding protein Rv1421	Rv1421 MTCY21B4.39	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	301
P9WLE9	Y2283_MYCTU	reviewed	Uncharacterized protein Rv2283	Rv2283 MTCY339.27c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	64
P9WJZ9	Y224_MYCTU	reviewed	Uncharacterized methyltransferase Rv0224c (EC 2.1.1.-)	Rv0224c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	254
P9WQM5	Y1979_MYCTU	reviewed	Uncharacterized transporter Rv1979c	Rv1979c MTCY39.40 MTV051.17c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	481
P9WMC5	Y2250_MYCTU	reviewed	Uncharacterized HTH-type transcriptional regulator Rv2250c	Rv2250c MTCY427.32c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	189
P9WLK1	Y2084_MYCTU	reviewed	Uncharacterized protein Rv2084	Rv2084 MTCY49.23	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	380
P9WLK5	Y2081_MYCTU	reviewed	Uncharacterized protein Rv2081c	Rv2081c MTCY49.20c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	146
P9WL95	Y2568_MYCTU	reviewed	Uncharacterized protein Rv2568c	Rv2568c MTCY227.33	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	341
P9WIY7	Y2565_MYCTU	reviewed	Uncharacterized NTE family protein Rv2565	Rv2565 MTCY9C4.03c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	583
P9WIH5	Y2047_MYCTU	reviewed	Uncharacterized protein Rv2047c	Rv2047c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	854
P9WMY1	Y539_MYCTU	reviewed	Uncharacterized glycosyltransferase Rv0539 (EC 2.4.-.-)	Rv0539 MTCY25D10.18	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	218
P9WFI9	Y293_MYCTU	reviewed	Putative S-adenosyl-L-methionine-dependent methyltransferase Rv0281 (EC 2.1.1.-)	Rv0281	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	302
O53335	Y3189_MYCTU	reviewed	Probable NAD(+) phosphorylase Rv3189 (EC 2.4.2.-) (Mycobacterial cidal toxin Rv3189)	Rv3189	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	206
P9WMG7	Y494_MYCTU	reviewed	Uncharacterized HTH-type transcriptional regulator Rv0494	Rv0494 MTCY20G9.20	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	242
P0CG96	Y3118_MYCTU	reviewed	Uncharacterized protein Rv3118	sseC1 Rv3118	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	100
P9WLR7	Y1824_MYCTU	reviewed	Uncharacterized protein Rv1824	Rv1824 MTCY1A11.19c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	121
P9WLV7	Y1519_MYCTU	reviewed	Uncharacterized protein Rv1519	Rv1519 MTCY19G5.09c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	89
P9WLQ9	Y1836_MYCTU	reviewed	Uncharacterized protein Rv1836c	Rv1836c MTCY1A11.07	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	677
P9WM21	Y1337_MYCTU	reviewed	Uncharacterized protein Rv1337	Rv1337 MTCY02B10.01 MTCY130.22	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	240
P9WM49	Y1265_MYCTU	reviewed	Uncharacterized protein Rv1265	Rv1265 MTCY50.17c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	226
P9WGX3	Y1407_MYCTU	reviewed	Putative methyltransferase Rv1407 (EC 2.1.1.-)	Rv1407 MTCY21B4.24	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	457
P9WLN3	Y2004_MYCTU	reviewed	Uncharacterized protein Rv2004c	Rv2004c MTCY39.13	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	498
P9WKV7	Y479_MYCTU	reviewed	Uncharacterized protein Rv0479c	Rv0479c MTCY20G9.05c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	348
P9WL05	Y3129_MYCTU	reviewed	Uncharacterized protein Rv3129	Rv3129	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	110
P9WL79	Y2578_MYCTU	reviewed	Uncharacterized protein Rv2578c	Rv2578c MTCY227.23	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	340
P9WFF9	UPPP_MYCTU	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP bacA upk Rv2136c MTCY270.32	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	282
P9WFB1	VAPC8_MYCTU	reviewed	Ribonuclease VapC8 (RNase VapC8) (EC 3.1.-.-) (Toxin VapC8)	vapC8 Rv0665	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	112
P9WLI7	Y2203_MYCTU	reviewed	Uncharacterized protein Rv2203	Rv2203 MTCY190.14	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	230
P9WLT7	Y1590_MYCTU	reviewed	Uncharacterized protein Rv1590	Rv1590 MTCY336.14c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	79
P9WLN7	Y2000_MYCTU	reviewed	Uncharacterized protein Rv2000	Rv2000 MTCY39.18c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	537
P9WLJ5	Y2091_MYCTU	reviewed	Uncharacterized protein Rv2091c	Rv2091c MTCY49.31c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	244
P9WKV9	Y477_MYCTU	reviewed	Uncharacterized protein Rv0477	Rv0477 MTCY20G9.03	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	148
O69731	Y3766_MYCTU	reviewed	Uncharacterized protein Rv3766	Rv3766 RVBD_3766 P425_03919	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	274
P9WL37	Y2885_MYCTU	reviewed	Putative transposase Rv2885c	Rv2885c MTCY274.16c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	460
P9WJP9	Y2900_MYCTU	reviewed	Uncharacterized oxidoreductase Rv2900c (EC 1.-.-.-)	Rv2900c MTCY274.31c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	779
P9WKY7	Y3421_MYCTU	reviewed	Uncharacterized protein Rv3421c	Rv3421c MTCY78.08	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	211
P9WL13	Y2929_MYCTU	reviewed	Uncharacterized protein Rv2929	Rv2929 MTCY338.18	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	103
P9WL23	Y2915_MYCTU	reviewed	Uncharacterized protein Rv2915c	Rv2915c MTCY338.03c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	370
I6YB21	Y3067_MYCTU	reviewed	Uncharacterized protein Rv3067	Rv3067 RVBD_3067 LH57_16745 P425_03195	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	181
P9WFJ9	Y637_MYCTU	reviewed	UPF0336 protein Rv0637	Rv0637 MTCY20H10.18	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	166
P9WL65	Y2628_MYCTU	reviewed	Putative uncharacterized protein Rv2628	Rv2628	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	120
P9WHK9	PYRE_MYCTU	reviewed	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE umpA Rv0382c MTV036.17c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	179
P9WHU5	RIPB_MYCTU	reviewed	Peptidoglycan endopeptidase RipB (EC 3.4.-.-) (Macrophage invasion and intracellular persistence protein B) (Resuscitation-promoting factor interaction partner B) (Rpf-interacting protein B)	ripB Rv1478	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	241
P9WHE9	RISB_MYCTU	reviewed	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH Rv1416 MTCY21B4.34	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	160
P9WH93	RL34_MYCTU	reviewed	50S ribosomal protein L34	rpmH Rv3924c MTV028.15	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	47
P9WGE9	SODC_MYCTU	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	sodC Rv0432 MTCY22G10.29	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	240
P9WFV5	SYH_MYCTU	reviewed	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hisS Rv2580c MTCY227.21	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	423
P9WG97	TATC_MYCTU	reviewed	Sec-independent protein translocase protein TatC	tatC Rv2093c MTCY49.33c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	308
O53493	PPMNT_MYCTU	reviewed	Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase [Includes: Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269); Polyprenol monophosphomannose synthase (PPM synthase) (Polyprenol-P-Man synthase) (Ppm1) (EC 2.4.1.-) (Dolichol-phosphate mannose synthase) (EC 2.4.1.83)]	ppm1 lnt Rv2051c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	874
P9WHK5	PYRH_MYCTU	reviewed	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH Rv2883c MTCY274.14c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	261
P9WIT7	PYRB_MYCTU	reviewed	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB Rv1380 MTCY02B12.14	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	319
P9WH69	RIR2H_MYCTU	reviewed	R2-like ligand binding oxidase (EC 1.-.-.-) (Ribonucleotide reductase R2 subunit homolog) (Ribonucleotide reductase small subunit homolog)	nrdB Rv0233	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	314
P9WG29	RPFB_MYCTU	reviewed	Resuscitation-promoting factor RpfB (EC 3.-.-.-)	rpfB Rv1009 MTC1237.26	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	362
P9WIM5	RNMT_MYCTU	reviewed	Rhamnosyl O-methyltransferase (EC 2.1.1.-)	Rv2959c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	245
P9WH63	RS12_MYCTU	reviewed	30S ribosomal protein S12	rpsL rps12 Rv0682 MTV040.10	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	124
P9WJ67	RSLA_MYCTU	reviewed	Anti-sigma-L factor RslA (Regulator of SigL) (Sigma-L anti-sigma factor RslA)	rslA Rv0736	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	250
P9WPG1	PSS_MYCTU	reviewed	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)	pssA Rv0436c MTCY22G10.33c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	286
O50462	RELB_MYCTU	reviewed	Antitoxin RelB	relB relB1 Rv1247c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	89
P9WPH1	RIBD_MYCTU	reviewed	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	ribD ribG Rv1409 MTCY21B4.26	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	339
P9WH73	RIR2A_MYCTU	reviewed	Ribonucleoside-diphosphate reductase subunit beta nrdF1 (EC 1.17.4.1) (Ribonucleotide reductase R2-1 small subunit) (Ribonucleotide reductase small subunit 1)	nrdF1 Rv1981c MTCY39.38	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	322
O53590	SIGM_MYCTU	reviewed	ECF RNA polymerase sigma factor SigM (ECF sigma factor SigM) (Alternative RNA polymerase sigma factor SigM) (RNA polymerase sigma-M factor) (Sigma-M factor)	sigM Rv3911	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	196
P9WKC7	TGS2_MYCTU	reviewed	Probable diacyglycerol O-acyltransferase tgs2 (TGS2) (Diacylglycerol O-acyltransferase) (DGAT) (EC 2.3.1.20) (Long-chain-alcohol O-fatty-acyltransferase) (EC 2.3.1.75) (Probable triacylglycerol synthase tgs2) (Wax ester synthase/acyl-CoA:diacylglycerol acyltransferase) (Wax synthase) (WS)	tgs2 Rv3734c MTV025.082c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	454
O53193	TRLR_MYCTU	reviewed	Thioredoxin-like reductase Rv2466c	Rv2466c RVBD_2466c LH57_13485 P425_02568	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	207
P9WHK3	PYRR_MYCTU	reviewed	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR Rv1379 MTCY02B12.13	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	193
P9WHD5	RL16_MYCTU	reviewed	50S ribosomal protein L16	rplP Rv0708 MTCY210.27	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	138
P9WHF1	RIBBA_MYCTU	reviewed	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]	ribBA ribA ribA2 Rv1415 MTCY21B4.33	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	425
P9WH83	RL5_MYCTU	reviewed	50S ribosomal protein L5	rplE Rv0716 MTCY210.35	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	187
P9WH37	RS3_MYCTU	reviewed	30S ribosomal protein S3	rpsC Rv0707 MTCY210.26	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	274
P9WGH5	SIGL_MYCTU	reviewed	ECF RNA polymerase sigma factor SigL (ECF sigma factor SigL) (Alternative RNA polymerase sigma factor SigL) (RNA polymerase sigma-L factor) (Sigma-L factor)	sigL Rv0735	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	177
P9WGG5	SIGG_MYCTU	reviewed	ECF RNA polymerase sigma factor SigG (ECF sigma factor SigG) (Alternative RNA polymerase sigma factor SigG) (RNA polymerase sigma-G factor) (Sigma-g factor)	sigG Rv0182c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	370
P9WHC5	RL20_MYCTU	reviewed	50S ribosomal protein L20	rplT Rv1643 MTCY06H11.07	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	129
P9WFV7	SYG_MYCTU	reviewed	Glycine--tRNA ligase (EC 6.1.1.14) (Glycyl-tRNA synthetase) (GlyRS)	glyQS glyS Rv2357c MTCY27.23 MTCY98.26	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	463
P9WFT5	SYT_MYCTU	reviewed	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS Rv2614c MTCY1A10.20	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	692
P9WK27	NTPP_MYCTU	reviewed	Nucleoside triphosphate pyrophosphatase (EC 3.6.1.9) (Nucleotide pyrophosphatase) (Nucleotide PPase)	Rv3282 MTCY71.22	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	222
P96285	PKS1_MYCTU	reviewed	Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks1	pks1 Rv2946c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1616
P9WP37	QCRB_MYCTU	reviewed	Cytochrome bc1 complex cytochrome b subunit (EC 7.1.1.8) (Cytochrome bc1 reductase complex subunit QcrB) (Ubiquinol--cytochrome c reductase cytochrome b subunit)	qcrB Rv2196 MTCY190.07	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	549
P9WHG3	RF1_MYCTU	reviewed	Peptide chain release factor 1 (RF-1)	prfA Rv1299 MTCY373.19	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	357
P9WH19	RIMM_MYCTU	reviewed	Ribosome maturation factor RimM	rimM Rv2907c MTCY274.38c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	176
P9WHR1	RIP3_MYCTU	reviewed	Putative zinc metalloprotease Rip3	rip3 Rv2625c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	393
P9WHC9	RL19_MYCTU	reviewed	50S ribosomal protein L19	rplS Rv2904c MTCY274.35c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	113
P9WHD1	RL18_MYCTU	reviewed	50S ribosomal protein L18	rplR Rv0720 MTCY210.39	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	122
P9WH91	RL35_MYCTU	reviewed	50S ribosomal protein L35	rpmI Rv1642 MTCY06H11.06	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	64
P9WN65	RMLB_MYCTU	reviewed	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	rmlB rfbB Rv3464	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	331
P9WH61	RS13_MYCTU	reviewed	30S ribosomal protein S13	rpsM Rv3460c MTCY13E12.13c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	124
