Rv_ID,Name,Description,Final Call,Functional_Category,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,pca1,pca2,pca3,tsne1,tsne2,y_hc
Rv0011c,-,Probable conserved transmembrane protein,NE,cell wall and cell processes,0.42,0.56,-1.6,-6.75,-1.98,2.02,0.37,-0.8,-0.88,-1.0,0.0,0.0,0.0,3.39,-0.9,0.8,3.15,-1.6,3.35,-0.39,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.21,-0.2,0.0,-3.8,-0.26,-2.59,-2.74,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,-1.31,-0.71,-1.08,-1.08,0.0,-1.02,-2.9,-4.47,0.0,-4.08,-4.47,0.0,0.0,0.0,0.0,-3.5,-3.5,-2.827774690664763,6.680270778622262,2.2601501678492815,-48.345173,-3.937433,3
Rv0012,-,Probable conserved membrane protein,NE,cell wall and cell processes,-0.24,-0.74,0.29,-1.12,-1.12,-0.23,-0.06,0.04,-1.22,0.18,0.59,0.32,-0.28,0.24,0.23,-0.24,0.62,0.1,0.31,-0.22,0.52,-1.78,4.65,0.68,-0.73,-3.19,0.92,2.55,-0.15,1.94,-0.2,-3.92,-2.51,-1.14,-1.33,-1.24,0.05,0.08,1.69,4.47,-0.36,0.27,1.66,1.39,1.49,-0.15,-0.92,-1.36,-1.71,-1.16,-1.3,-0.66,-0.65,-1.08,-1.14,-0.18,-0.63,-1.61,0.65,0.45,1.3,-0.17,-1.38,-2.21,-2.693984949630279,3.0411005685989814,-3.456970834394883,-25.529007,36.779453,1
Rv0013,trpG,Possible anthranilate synthase component II TrpG (glutamine amidotransferase),ES,intermediary metabolism and respiration,-2.29,-2.48,-0.99,0.32,-0.72,-7.87,1.27,-0.7,-1.16,-0.78,1.19,2.33,-0.33,-0.35,2.51,-0.36,-2.07,0.46,-0.25,2.63,0.04,3.63,1.46,-3.66,-10.84,0.11,-0.38,-5.32,-1.31,1.14,-3.5,-1.01,-1.28,-2.19,-1.56,2.06,-5.43,-4.58,-1.85,1.73,-5.73,0.88,-0.26,-0.45,-2.66,-0.75,-1.34,0.4,0.25,-0.29,0.05,-1.11,-0.87,-0.05,-2.88,1.7,-0.33,0.71,-1.79,-2.61,0.31,-0.56,-2.88,-3.76,13.539503277590782,4.780067789336114,-1.8152145099237014,48.90234,-6.8183475,0
Rv0014c,pknB,Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B),ES,regulatory proteins,1.3,-0.07,0.0,0.0,0.0,0.0,-0.06,0.0,-0.08,0.18,-0.14,0.0,0.14,0.17,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.14,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,-0.07,0.0,-0.07,1.38,0.0,-0.14,0.0,-0.15,-0.15,0.0,0.14,0.06,0.0,-0.15,-0.15,0.27,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.0,0.31,-1.0732961774307788,-1.5063381632764237,0.6445995531669847,-35.76308,-29.632784,3
Rv0015c,pknA,Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A),ES,regulatory proteins,-0.08,0.62,0.07,1.96,0.47,0.0,-2.48,-0.08,-2.64,-1.4,-0.0,-0.73,-0.73,2.41,0.44,0.81,-0.16,0.96,-0.97,-0.59,0.07,0.0,-0.65,2.52,2.19,-0.41,0.0,0.2,0.2,0.0,0.0,0.0,5.49,0.43,0.91,-0.98,1.73,-1.63,-2.17,1.23,1.97,-1.38,-1.1,0.28,0.37,-0.33,-1.36,-0.25,-0.99,0.2,0.43,-1.44,-1.87,0.5,1.72,-0.27,1.43,-1.0,-3.73,-2.3,1.61,2.34,-1.57,-0.0,-2.870944940996067,-2.540624494096337,0.8636840707494964,-6.670087,12.577604,3
Rv0016c,pbpA,Probable penicillin-binding protein PbpA,NE,cell wall and cell processes,0.09,-0.25,-0.96,-4.57,-0.84,-2.56,0.45,0.28,-0.16,0.48,-3.76,-2.44,1.32,1.42,-0.75,0.81,1.7,0.33,1.34,-0.17,-0.05,-0.01,2.16,-1.02,0.74,1.76,-2.56,-2.56,0.0,1.73,0.93,-0.81,0.4,-0.82,-1.03,-0.58,-1.55,-1.67,0.58,-5.25,4.72,-3.49,-2.04,1.45,-0.73,0.38,1.14,-2.81,-3.41,-0.96,-0.27,-2.16,-0.57,-0.86,-6.1,-1.14,-0.52,-4.0,0.84,1.39,-2.29,2.39,-3.08,-5.93,0.7360407662378577,7.239009715524072,1.4978342614565328,8.017988,9.181556,0
Rv0017c,rodA,Probable cell division protein RodA,NE,cell wall and cell processes,-0.12,-0.19,-0.65,-3.85,-0.38,-6.63,0.51,0.17,0.31,0.75,-1.75,-2.05,-0.3,0.86,-0.51,0.85,1.43,0.35,1.03,-0.07,-0.24,-1.31,2.97,-0.88,2.47,2.03,-8.83,-5.46,2.05,-0.24,2.59,1.52,0.48,-0.62,-0.64,-0.01,-1.53,-1.79,1.23,-4.73,4.69,-1.11,-1.24,-0.12,-0.58,0.18,0.43,-2.87,-3.57,-0.84,-0.24,-2.29,-0.83,-1.78,-7.2,-1.03,-0.6,-3.79,0.82,-1.39,6.59,1.99,-8.4,-4.38,4.010607486652054,10.49623312495359,2.1681039402655164,8.8703985,9.257628,0
Rv0018c,pstP,Phosphoserine/threonine phosphatase PstP,ESD,regulatory proteins,0.02,-0.43,-0.92,-3.07,-0.61,-0.6,0.03,-0.51,2.13,0.92,1.77,-0.36,-2.13,-0.37,0.85,-0.31,0.52,0.02,0.21,-0.05,0.81,-2.04,-3.1,2.26,5.37,1.07,-0.63,1.67,0.26,-0.33,4.02,2.32,-3.63,-0.55,-0.48,-0.34,-2.41,-2.0,1.73,-2.02,-0.86,-0.39,-1.14,-0.75,1.39,0.75,2.96,-0.78,-2.11,1.56,0.91,-0.18,0.33,0.26,1.13,-2.1,-0.87,0.25,0.3,2.33,-0.18,3.41,0.5,-6.1,-7.041965923139715,1.5480209466823664,-0.26122858250252395,-8.0341625,21.53449,4
Rv0019c,fhaB,"Conserved protein with FHA domain, FhaB",NE,regulatory proteins,-0.01,-0.11,-1.24,-2.55,0.03,-5.91,1.08,0.15,3.04,1.78,-0.9,-3.7,-2.8,0.45,1.16,-0.66,-0.46,0.07,0.72,-0.38,-0.34,0.71,1.58,1.63,2.08,1.16,-4.76,-3.17,2.52,-2.28,-0.46,2.52,-1.0,0.09,-0.05,-2.28,0.85,-2.6,2.04,-4.9,-1.34,-2.85,-3.11,-0.26,-0.78,0.64,3.93,-1.45,-2.27,0.53,0.14,-0.37,0.79,1.17,-2.86,-0.65,0.38,1.86,1.46,1.18,5.84,1.36,-4.07,-3.22,3.5219594864063466,2.1845423772348393,1.8082021702939308,35.773273,-7.1440682,0
Rv0020c,fhaA,"Conserved protein with FHA domain, FhaA",ESD,regulatory proteins,-0.28,-0.46,-0.31,-2.69,-0.08,-6.06,0.57,0.67,0.73,0.45,-0.5,-1.21,-0.71,1.46,0.74,0.09,0.87,0.43,0.84,0.03,-0.05,2.45,0.65,1.95,0.03,0.54,-4.3,-7.74,-0.98,2.38,0.41,0.48,-0.68,-0.4,-0.58,0.46,-1.49,-1.95,1.38,-3.28,-0.86,-0.44,-1.86,-1.42,-0.43,0.62,1.89,-2.12,-2.92,1.29,-0.38,-0.62,-0.82,-0.81,-0.32,0.85,2.74,-6.13,-0.31,-1.92,-0.73,1.29,1.03,0.35,5.702810897084631,-0.7690579114523955,3.5036520456103877,35.81873,-15.333584,0
Rv0021c,-,hypothetical protein,NE,conserved hypotheticals,-0.2,-0.14,0.22,0.65,0.06,1.86,-0.41,0.31,-0.02,-0.08,-0.07,0.09,0.16,0.0,-0.14,-0.85,-0.31,-0.26,-0.1,0.27,-0.3,0.08,-0.87,0.05,0.38,0.41,-0.51,-0.74,-0.16,-0.68,-0.64,0.12,0.75,0.03,-0.21,0.86,0.12,0.03,0.21,0.24,-0.21,-0.3,-0.4,-0.1,-1.11,0.07,0.36,-0.0,0.66,0.41,0.27,0.17,0.04,0.07,0.24,0.18,-0.79,0.26,-0.23,0.21,-0.42,0.65,0.19,-0.95,-1.4676256165731763,-1.350668898613692,2.70538775646818,-11.515201,-13.427243,3
Rv0022c,whiB5,Probable transcriptional regulatory protein WhiB-like WhiB5,NE,regulatory proteins,-0.14,0.02,0.3,-0.18,0.33,-0.46,0.16,0.26,0.45,0.19,-0.68,0.35,1.03,0.32,-0.31,-0.32,0.21,-0.05,-0.22,0.43,0.43,-0.3,1.29,2.22,3.18,0.66,-2.15,-1.78,0.07,1.49,1.11,-0.69,0.29,0.33,0.29,0.33,0.66,0.76,1.47,0.0,0.19,0.26,0.05,-0.21,-1.3,0.27,0.54,-0.23,-0.17,-0.11,0.14,0.06,-0.26,-0.16,0.93,-0.21,0.36,1.6,0.52,0.87,0.61,-0.16,-0.31,0.53,-2.119808073172993,-3.4684995701239214,2.3348267099533513,6.3273654,10.651566,3
Rv0023,-,Possible transcriptional regulatory protein,GD,regulatory proteins,-0.3,0.6,0.5,-2.32,0.26,0.0,-0.3,0.4,-0.58,-2.06,0.29,2.08,-0.07,1.13,0.35,0.0,0.0,0.0,0.78,1.32,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.04,0.0,-1.36,0.63,0.0,1.05,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,0.0,1.09,-0.41,0.0,0.0,-1.44,0.0,6.02,-0.56,-1.1599596677470894,-2.1933363423692014,1.4512252166802402,-30.710339,-41.83217,3
Rv0024,-,Putative secreted protein P60-related protein,NE,"virulence, detoxification, adaptation",0.53,0.62,0.37,0.06,0.21,2.07,-0.46,0.1,-0.61,-0.67,0.03,0.3,0.27,-0.62,0.22,1.76,-0.36,0.01,-0.34,-0.23,0.14,0.07,-2.02,2.01,1.87,-0.08,0.77,0.58,-0.12,-0.27,-1.59,-1.26,-0.82,0.64,0.31,-0.02,0.69,0.87,-0.41,0.61,0.43,0.27,0.33,0.06,1.01,-0.01,-0.25,0.04,0.15,0.41,-0.08,0.01,0.13,-0.04,0.74,0.01,0.51,-0.48,0.39,0.77,-0.19,0.15,-1.21,0.16,-3.6316191432631406,-2.2354413398501003,1.4713220379606038,-25.64156,-2.8237047,3
Rv0025,-,hypothetical protein,NE,conserved hypotheticals,-0.22,0.04,0.59,0.0,0.63,-2.5,-0.53,0.73,-0.4,-0.32,0.92,1.26,0.34,1.08,0.62,-0.1,-0.27,0.34,0.75,0.64,0.99,-1.59,0.46,0.75,2.64,0.3,-3.36,-2.8,-1.04,-1.79,0.13,0.33,0.3,0.52,0.14,1.62,-0.74,-0.38,-3.83,0.2,-0.89,0.57,0.43,-0.14,-3.05,0.37,0.52,-0.33,-0.76,0.2,-0.07,-0.45,-0.03,0.04,1.21,-0.1,-1.16,1.09,-0.94,-0.07,0.72,-1.38,-0.5,-0.82,0.8388379546075123,-1.0179874277203367,3.27935248817631,16.123133,1.7206576,2
Rv0026,-,hypothetical protein,NE,conserved hypotheticals,0.06,0.13,0.05,-0.09,0.05,-7.08,0.07,0.22,-0.14,-0.28,0.07,0.27,0.2,-0.33,0.51,-0.7,-0.51,-0.18,-0.47,-0.1,-0.23,0.97,2.98,0.32,-0.48,0.17,-1.85,-1.77,1.05,-0.37,-1.02,0.31,-2.92,-0.12,-0.25,0.09,-0.42,-0.07,-0.54,-0.32,-0.74,0.03,0.0,-0.03,0.7,-0.18,0.06,0.18,0.06,1.28,0.45,-0.16,0.06,-0.04,1.44,-0.25,-0.45,1.24,0.42,0.58,-0.33,-0.22,0.82,-0.35,4.831244131134291,-2.484555223055605,-2.1197338034044706,47.054546,6.3888307,2
Rv0027,-,hypothetical protein,NE,conserved hypotheticals,0.59,0.56,0.05,-2.28,0.06,-3.96,1.93,-0.31,2.93,2.0,0.57,0.98,0.41,0.3,0.3,-1.4,-0.71,-0.19,-1.07,-0.23,-0.01,4.47,-1.39,6.13,1.33,-0.33,3.91,-0.22,0.34,2.64,-0.37,1.46,3.09,0.81,0.54,-2.26,-0.92,-2.82,-1.19,-0.09,-1.53,-1.82,0.67,2.5,6.59,0.2,-0.9,-0.06,-0.12,-0.26,-0.05,0.42,0.24,0.08,-1.5,-0.11,-0.31,0.02,-0.22,0.32,1.66,1.56,-1.19,-1.49,-1.7463925948295458,-5.071074310618264,-3.5598005611471852,31.10492,28.03276,4
Rv0028,-,hypothetical protein,NE,conserved hypotheticals,-0.18,-0.17,0.2,1.24,0.15,-0.18,0.02,0.06,-0.2,-0.89,-0.3,-0.43,-0.13,1.22,0.55,0.96,0.0,0.19,-0.17,0.54,0.13,1.18,-1.82,-2.98,-2.76,1.4,0.34,-1.45,-0.61,-0.29,-0.55,0.93,2.47,-0.14,-0.36,0.27,-2.32,0.06,1.18,0.12,0.57,1.88,0.97,-0.91,-2.1,-0.1,-0.07,0.19,0.22,-0.02,-0.03,0.23,0.12,0.13,-1.1,-0.19,0.95,-1.8,0.92,1.62,1.37,-0.54,-2.48,0.19,2.2540209496242887,1.359563389710714,1.3299785308932497,18.06138,-15.424122,3
