Rv_ID,2003A_Sassetti_log2FC,2003B_Sassetti_log2FC,2005_Rengarajan_log2FC,2006_Joshi_GI_1_log2FC,2006_Joshi_GI_2_log2FC,2011_Griffin_2_log2FC,2013_Zhang_1_log2FC,2013_Zhang_2_log2FC,2013_Zhang_3A_log2FC,2013_Zhang_3B_log2FC,2013_Zhang_3C_log2FC,2013_Zhang_3D_log2FC,2016_Korte_log2FC,2017_Mishra_1A_log2FC,2017_Mishra_1B_log2FC,2017_Mishra_1C_log2FC,2017_Mishra_1D_log2FC,2018_Rittershaus_1A_log2FC,2018_Rittershaus_1B_log2FC,2012_Zhang_log2FC,2015_Kieser_GI_1_log2FC,2015_Kieser_GI_2_log2FC,2015_Kieser_GI_3_log2FC,2015_Mendum_log2FC,2016_Nambi_log2FC,2017_Xu_1A_log2FC,2017_Xu_1B_log2FC,2017_Xu_1C_log2FC,2017_Xu_1D_log2FC,2017_Xu_1E_log2FC,2018_Carey_1A_log2FC,2018_Carey_1B_log2FC,2018_Carey_1C_log2FC,2018_Carey_1D_log2FC,2018_Carey_1E_log2FC,2018_Carey_1F_log2FC,2018_Carey_1G_log2FC,2018_Carey_1H_log2FC,2017B_DeJesus_1A_log2FC,2017B_DeJesus_1B_log2FC,2017B_DeJesus_1C_log2FC,marP_log2FC,Rv0950_log2FC,Rv3916c_log2FC,Rv0307c_log2FC,Rv3717_log2FC,ponA1_log2FC,Rv1565c_log2FC,Rv3684_log2FC,Rv0954_log2FC,Rv3811_log2FC,Rv1096_log2FC,Rv2680_log2FC,Rv1432_log2FC,Rv3594_log2FC,Rv3005c_log2FC,Functional_Category
Rv0012,0.0,0.0,0,0,0,0.0,4.217142360078474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.70518215655198,0.0,0.0,0.0,-1.0,-0.6197022489133464,0.6727241812375141,-0.6217393308715498,-1.0,1.48067830669498,-1.576420678737479,-0.6937047550156777,-1.078427014897919,-1.5824428158030082,-1.027423748567033,0.86,0.22,-0.63,0.93,0.39,0.73,0.03,1.0,-0.83,1.02,-2.13,4.47,0.29,0.05,-2.91,-1.22,-0.05,2.55,0.04,-1.12,0.18,-1.12,-0.2,-0.73,-0.06,0.0,cell wall and cell processes
Rv0013,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,7.108524456778168,2.5780938437416663,-5.294069662709253,-1.0,-2.21545514733429,0.2387868595871165,0.8685338375576448,-0.8494403234246188,0.8935779408638458,0.1721809753826803,1.4,-1.67,1.21,-1.66,-0.5,-1.66,3.36,-1.67,-3.32,-4.1,-4.12,1.73,-0.99,1.32,-6.39,-1.16,-3.0,-5.32,-0.7,0.93,-0.78,-0.72,-3.5,-10.84,1.27,-5.76,intermediary metabolism and respiration
Rv0014c,-4.4698752276593705,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.3948184331272289,0.0,-3.246427701164162,0.0,1.0995303059415902,0.0,0.0,-0.3219280948873623,-0.15200309344505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.59,-0.99,-0.72,-0.89,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.18,0.0,0.0,0.0,-0.06,0.0,regulatory proteins
Rv0015c,-4.163953493413429,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.971341827709863,-6.074209154152943,-3.1105442730823927,0.0,1.7162000327659,-0.9151971589640144,-2.238610931894576,-0.1666978225776227,-0.7761361914468838,-1.397963985919902,0.26,0.27,2.05,1.07,0.99,-0.29,-0.12,1.71,-0.65,-0.99,-0.72,1.23,0.07,0.23,7.49,-2.64,-3.51,-2.68,-0.08,1.96,-1.4,0.47,0.0,1.92,-2.48,0.0,regulatory proteins
Rv0016c,0.0,0.0,0,0,0,0.0,7.285402218862249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.4475988189401281,0.0023291989828502038,-0.5466927202890347,-1.0,-0.712608277800567,-0.9784846793452004,-0.8300403046276201,-0.3989957090809845,-4.123876427120828,-1.950948861694856,2.01,-0.21,1.59,2.34,0.71,1.79,-1.51,0.55,0.87,-0.57,-0.89,-5.25,-0.96,1.66,-3.98,-0.16,-0.16,0.0,0.28,-4.57,0.48,-0.84,0.93,3.95,0.41,-5.22,cell wall and cell processes
Rv0017c,0.0,0.0,-1,0,0,0.0,5.1001366712854495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.5144079257030583,1.423577755079121,-2.4523903129205067,-1.0,-0.552812901405973,-2.0961652442250447,-0.9787661655607808,-0.3333801679952991,-3.5673365954624106,-2.179765440597379,1.2,-0.24,1.89,1.65,0.59,1.35,-0.75,0.11,3.31,0.91,2.8,-4.73,-0.65,-0.57,-4.26,0.31,-0.33,-5.46,0.17,-3.85,0.75,-0.38,2.59,2.47,0.51,-3.72,cell wall and cell processes
Rv0018c,0.0,0.0,-1,0,0,0.0,7.4838157772642555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.37619473681329,-0.5633182643799655,1.733899421899327,-1.0,1.35731634742865,0.26253459808901003,0.3304007272361303,0.7297229040333177,-1.0043411486236211,0.7747041865770022,0.02,0.99,-0.74,0.73,0.15,0.36,0.08,1.17,1.21,0.0,1.73,-2.02,-0.92,2.66,0.89,2.13,0.41,1.67,-0.51,-3.07,0.92,-0.61,4.02,5.37,0.03,-1.18,regulatory proteins
Rv0019c,0.0,0.0,-1,0,0,0.0,3.8542191857304386,-5.552601366645897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.077489899171606,-1.023022962664529,3.1762644074352013,-1.0,-0.7906313511270849,1.1830926318672252,0.7502609404002896,0.7107666647476639,-1.684119788346881,-0.0946525589304052,0.79,1.35,-1.4,-0.16,0.25,0.96,-0.39,-0.08,0.42,-0.69,0.8,-4.9,-1.24,-4.72,-1.44,3.04,-3.32,-3.17,0.15,-2.55,1.78,0.03,-0.46,2.08,1.08,-6.5,regulatory proteins
Rv0020c,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.076949640934824,0.3691971686569621,0.5863596364343009,-1.0,-0.443534677911193,-0.8095245141758509,-0.8222537984369425,0.5955752126001266,-2.55382219938877,-0.2457897551956572,1.82,0.95,0.56,1.02,0.59,1.11,0.19,0.27,-1.77,-2.84,-1.8,-3.28,-0.31,0.77,1.3,0.73,-0.44,-7.74,0.67,-2.69,0.45,-0.08,0.41,0.03,0.57,-4.5,regulatory proteins
Rv0022c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.861103610107642,-1.0825338375920721,1.8254944822540182,-1.0,-1.18673362477662,-0.1603888904445279,-0.2633763348253879,-0.08853058526387735,-0.2566612108079159,0.2712952265725236,0.65,-0.14,-0.37,0.28,0.09,0.01,0.56,0.75,1.04,0.28,-0.35,0.0,0.3,0.57,-0.13,0.45,-0.03,-1.78,0.26,-0.18,0.19,0.33,1.11,3.18,0.16,-0.76,regulatory proteins
Rv0023,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.818033696354695,-2.584713690868704,2.3219280948873617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.1,0.0,0.0,0.0,0.0,2.49,5.21,-0.59,-1.0,-0.71,1.05,0.5,0.0,0.0,-0.58,4.11,0.0,0.4,-2.32,-2.06,0.26,0.0,0.0,-0.3,0.0,regulatory proteins
Rv0024,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.800445899616425,-1.1774684952020749,1.448259958660942,-1.0,1.0674174236826999,-0.02796568828538461,0.08240071007841279,-0.037400410543095286,-0.0709239106937452,0.2752070017686035,-0.19,0.44,1.97,-0.16,0.13,-0.12,-0.27,0.34,-0.07,-0.04,-1.24,0.61,0.37,0.27,3.55,-0.61,0.11,0.58,0.1,0.06,-0.67,0.21,-1.59,1.87,-0.46,2.39,"virulence, detoxification, adaptation"
Rv0031,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.954196310386875,4.954196310386875,-2.975310988826459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,-0.8,-0.5,0.75,0.0,-2.65,-2.65,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,insertion seqs and phages
Rv0032,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.2518608555900813,0.3315098163421564,0.1630504050547363,-1.0,-0.235244285601932,0.03119891674626101,0.1407262945232452,-0.1956555796354359,0.038556453015113616,-0.03642895843897809,0.4,0.72,0.09,0.28,0.13,-0.1,0.34,0.81,-1.13,-0.18,-0.71,0.28,0.19,-0.31,0.84,0.22,-0.01,-0.55,0.07,-0.11,0.32,0.13,-1.01,-0.86,0.27,0.44,intermediary metabolism and respiration
Rv0033,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.298998319904773,0.07185898939229204,-0.3583597580336264,-1.0,-0.159171627469683,0.08971969062281387,-0.3424163794507399,0.01059064525210085,-0.2094289497943809,-0.2203595631817876,0.49,-1.42,-0.83,0.08,-0.54,-0.95,0.43,-0.27,1.28,1.04,-0.33,0.29,0.63,-3.11,-0.4,-0.39,0.05,0.22,0.6,-0.67,0.23,0.8,-0.74,1.11,-0.09,1.53,lipid metabolism
Rv0035,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6166582980720856,-0.1722058437705583,0.7426501645404191,-1.0,0.434467699447795,-0.0002342512756739334,0.008803548299289145,-0.1199118711091888,0.01296131568390532,-0.1822126040230764,0.21,0.07,-0.05,0.42,0.19,0.45,0.75,1.36,-0.42,-0.51,-0.81,0.1,0.31,0.9,1.21,-0.4,0.08,0.42,0.1,-0.06,-0.25,0.16,-0.69,-0.23,-0.52,0.33,lipid metabolism
Rv0037c,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3930156155817305,0.4493711244605605,0.33925715119585403,-1.0,-1.1502759434393799,-0.3396896905806541,-0.5896894104510091,0.1920767114271647,-1.479905599456079,-0.906707941301648,0.69,0.53,-1.11,-0.41,0.1,-0.21,0.75,0.48,-0.89,-1.82,-1.2,0.2,-0.21,0.31,2.36,1.43,0.44,-1.03,0.27,-1.49,0.25,-0.15,-0.32,-0.21,-0.05,1.33,cell wall and cell processes
Rv0039c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0394422433450096,1.5269791642484252,0.09172732277365647,-1.0,0.358355127986367,0.01586673784043382,-0.02742269546537189,-0.4830422067250364,-0.4715066357453904,0.2143473747826147,0.86,1.26,-1.4,0.84,0.35,0.84,0.18,0.3,0.73,0.33,-0.01,-0.44,0.13,-1.99,-7.06,0.36,-0.23,-5.14,0.5,0.32,0.21,0.46,1.63,-6.67,-0.77,2.67,cell wall and cell processes
Rv0040c,0.0,0.0,0,0,0,0.0,4.987852627540325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.3019832635739461,-0.6353134835990929,0.3718845144471142,-1.0,2.68461010713489,-0.7154001080242716,-1.3149753342455959,0.03141634588665484,0.0361285628246524,-1.4481738902865882,1.05,-1.11,-0.46,-0.11,0.01,0.52,-0.68,0.18,-1.46,-1.63,-0.52,-0.94,-0.41,1.32,-0.93,-0.1,3.01,-0.51,-0.02,-0.72,-0.19,-0.04,0.62,-3.18,-0.32,-2.4,cell wall and cell processes
Rv0041,-3.138367899260653,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.698905364841782,1.137000099337844,-5.842519882475308,0.0,0.0,0.0,0.3219280948873623,0.0,0.0,0.0,1.57,1.56,1.57,4.48,2.73,3.52,3.0,1.56,-0.59,-1.0,-0.73,0.82,0.0,0.0,0.0,0.0,2.21,0.0,1.11,0.51,0.0,0.0,0.0,0.0,0.0,0.0,information pathways
Rv0042c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.157190670162395,1.4403128619708503,-5.22922974928192,-1.0,-1.49315311375846,-0.7504077523560663,-0.2530508446729284,-0.20850119638909198,1.6331210121725992,-0.3096844991326153,-0.17,3.69,-0.15,0.86,1.59,0.79,1.07,2.05,3.55,0.89,1.29,-1.08,-0.17,-5.8,2.02,1.79,0.71,-4.71,-0.09,-0.49,1.37,-0.77,-4.83,0.42,1.59,-5.38,regulatory proteins
Rv0043c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6763947591880537,1.162726096316472,-1.597643701268844,-1.0,-0.295491639599174,0.9828310671469342,0.5280901010222401,-1.37543987963575,-0.2198650924994631,0.04538769614799616,0.0,-0.55,-2.98,-0.67,-0.35,-0.48,0.35,-0.02,-1.73,0.4,-0.06,1.26,-0.06,-1.86,0.67,-0.71,1.45,-1.57,-0.4,0.21,-0.31,-0.51,-0.63,-3.59,-0.26,-4.14,regulatory proteins
Rv0044c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.1262332637819438,-0.3779672107860323,0.2063152524050254,-1.0,-0.0938876937717107,0.08728895569144271,0.2613299165694416,-0.1959770434996895,-0.1679543949016814,0.09964606839665736,0.73,0.45,-0.11,0.26,-0.01,-0.05,0.42,0.49,0.12,0.4,-1.28,0.3,0.05,-0.62,-0.07,0.31,-0.58,-1.45,0.11,0.45,-0.38,0.1,-0.67,-1.18,0.01,-3.09,intermediary metabolism and respiration
Rv0045c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.6296162833556116,-0.2135480788228512,1.653812162644386,-1.0,-0.507643093058305,0.07018497146785294,0.03025582030767357,0.1654960231150452,0.3378382447679618,-0.08466433613522477,2.2,1.87,-0.79,1.46,0.8,1.35,1.31,1.22,-1.83,-1.83,-2.19,0.25,0.0,0.54,2.36,-0.53,-1.49,-1.86,0.03,-1.1,0.41,0.26,-2.86,-2.36,-0.06,-6.93,lipid metabolism
Rv0046c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.766492444300603,-3.3318244911755763,5.754887502163467,0.0,0.0,0.0,0.0,0.0,0.289506617194985,0.0,0.0,0.0,0.0,2.91,2.0,0.0,0.0,0.0,-0.59,-1.01,-0.72,0.0,0.0,0.0,0.35,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,intermediary metabolism and respiration
Rv0048c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.119505116926081,0.2863697296945884,-0.7609023516325261,-1.0,-0.884335909435488,0.1899259610070715,0.0001822792940787099,-0.06427264131245132,0.5014688803284066,0.02673284090947953,0.04,0.6,-0.01,-0.45,0.03,0.11,-0.29,0.47,0.34,-0.7,-0.09,0.28,0.12,0.19,2.29,0.04,-0.18,-0.75,0.3,-0.19,-0.03,0.01,0.29,0.64,-0.36,1.6,cell wall and cell processes
Rv0050,0.0,0.0,0,0,0,0.0,1.3593600445541192,-3.1545982505153187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,10.027058238849609,5.439840648100823,-1.6414631470155858,-1.0,-0.42003582362662606,-3.9991186059958683,-0.6459989833641254,-1.6412313086507053,-0.9391988953266472,-0.3357093585738071,1.5,0.36,0.45,0.84,0.04,0.68,-1.06,0.2,1.29,2.21,2.78,-5.02,-0.14,-2.3,-1.71,-0.78,-5.95,-3.6,0.29,-1.6,0.1,-0.07,4.02,1.63,0.15,-0.8,cell wall and cell processes
Rv0051,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.1383906420244991,0.7155671456883972,0.3925359230699295,-1.0,-0.7942043568049679,-0.2906640358485337,-0.22684893566062397,-1.4567803066639018,3.095907268260266,0.3381119800027482,1.45,1.05,-1.08,-0.21,0.28,-0.01,0.47,0.86,-1.02,-1.57,-1.9,-1.04,0.11,0.24,-0.58,-0.43,0.87,-4.52,0.44,-0.1,-0.58,0.63,-2.14,-2.5,-0.69,-5.67,cell wall and cell processes
Rv0053,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2262345622144753,3.5382737601706165,0.4609632810818136,-1.0,0.0,0.1910678447680412,-0.7721177420010629,-2.2830014120216404,3.0258418526953417,1.8161128455351643,1.04,1.95,2.66,1.17,0.79,2.3,1.82,1.41,-0.6,-1.01,-0.72,0.9,-0.19,0.0,0.0,5.92,2.21,0.0,0.94,-0.61,4.64,-0.24,0.0,0.0,5.64,0.0,information pathways
Rv0054,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.295688146923555,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0,0.0,0.0,0.0,-0.59,-0.99,-0.72,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,-2.9,0.0,0.0,information pathways
Rv0055,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8034758613787618,8.016808287686555,-6.2097057446731245,-1.0,-2.9227366473694505,-0.4735289873147842,0.2338142669188005,2.002443175928329,-0.7622200093371032,0.030667136246941062,-1.5,0.08,0.96,1.13,0.11,3.78,0.28,0.81,-3.23,-3.69,-3.34,-2.42,-0.43,-2.84,-3.97,-8.18,1.19,-11.91,0.88,-2.7,-0.08,-0.47,-9.4,-11.92,-0.6,-8.64,information pathways
Rv0056,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4476938714212352,1.468650305941554,-1.5674131391278618,-1.0,-1.4332923988883897,0.4176779495712812,0.5691415752937833,2.268215899212045,-0.4099880169267467,-0.41226041460827,0.6,1.16,0.45,1.25,0.3,0.72,0.5,2.04,1.11,0.65,0.99,1.12,0.02,-1.96,-4.36,3.18,-1.56,2.47,-0.12,-0.24,2.01,-0.68,-3.18,-5.28,2.58,-4.0,information pathways
Rv0058,-3.858141814093314,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6387289259997962,1.0,-1.697534455150531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,-0.53,-0.94,-0.66,0.39,0.0,-1.0,-1.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,information pathways
